#date=2022/01/30 18:19:40;source=MUSIALv2.0;reference=TP0316;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	22	0	0	8	2	19
Q3	23	0	0	8	2	20
SHC-0	26	0	0	8	2	23
PT_SIF1348	23	0	0	8	2	20
PT_SIF0697	23	0	0	8	2	20
CZ33	24	0	10	6	0	13
PT_SIF1142	23	0	0	8	2	20
PT_SIF1020	23	0	0	8	2	20
PT_SIF1063	23	0	0	8	2	20
PT_SIF1140	23	0	8	2	2	13
PT_SIF1261	23	0	1	2	2	20
PT_SIF1183	23	0	0	8	2	20
GHA1	51	0	14	4	0	35
NE20	4	0	3	0	0	1
PT_SIF0877_3	23	0	0	8	2	20
A2_2	23	0	1	2	2	20
A2_1	37	0	9	8	2	24
GRA2	43	0	32	0	0	11
SHG-I2	26	0	0	8	2	23
AR2	39	0	5	14	2	29
SS14	29	0	7	2	2	20
SHD-R	24	0	2	2	2	20
PT_SIF1278	23	0	0	8	2	20
PT_SIF1156	23	0	0	8	2	20
PT_SIF1196	23	0	0	8	2	20
B3	26	0	0	8	2	23
NE17	28	0	6	2	2	20
NE19	23	0	2	2	2	19
NE12	26	0	7	2	2	17
NE13	28	0	11	6	0	16
NE14	29	0	7	2	2	20
NE15	30	0	8	2	2	20
SamoaD	59	0	14	7	0	43
PT_SIF0954	23	0	0	8	2	20
AU17	30	0	9	2	2	19
PT_SIF1127	25	0	2	8	2	20
AU15	33	0	7	8	2	23
AU16	29	0	7	2	2	20
PT_SIF0751	23	0	0	8	2	20
AU13	26	0	25	0	0	1
K3	32	0	0	8	2	29
BAL73	8	0	8	0	0	0
PT_SIF1002	22	0	0	8	2	19
PT_SIF1167	23	0	0	8	2	20
PT_SIF1200	23	0	1	2	2	20
PT_SIF1242	25	0	0	8	2	22
SW1	25	0	3	2	2	20
UW1	33	0	16	0	0	17
C3	26	0	0	8	2	23
PT_SIF1280	23	0	0	8	2	20
SW4	37	0	5	8	2	28
SW6	46	0	12	14	2	29
SW8	23	0	1	2	2	20
PT_SIF0908	22	0	0	8	2	19
Dallas	6	0	6	0	0	0
SEA86	10	0	9	0	0	1
CZ27	32	0	7	2	2	23
P3	35	0	1	14	2	29
Chicago	6	0	6	0	0	0
PT_SIF1135	23	0	0	8	2	20
MexicoA	30	0	7	2	2	21
PT_SIF1299	23	0	0	8	2	20
SHE-V	26	0	0	8	2	23
Seattle81	25	0	12	0	2	10
BosniaA	59	0	16	7	0	41
PT_SIF1252	23	0	0	8	2	20
Gauthier	59	0	14	7	0	43
NIC1	7	0	7	0	0	0
NIC2	6	0	6	0	0	0
CDC2	58	0	14	7	0	42
IND1	60	0	11	13	0	46
SAM1	59	0	12	7	0	45
BAL3	10	0	8	0	0	2
Fribourg	58	0	14	7	0	42
